,writer,date,review
0,스타트업 · v*******,"작성일
08.17",왜 그렇게 말씀 하신지 물어봐도 될까요? 저도 디스크로 고생하고 있는데 한약치료를 받을지 신경주사를 한 번 더 맞을지 고민되서요.
1,"새회사 · l*********
작성자","작성일
01.06","복근은 그럼 뭐로해야할까
나 헹레레 조아하는데.."
2,"국민건강보험공단
· !*********","작성일
2020.10.10.",터지면 상태가 어때?
3,"국민건강보험공단
· !*********","작성일
2021.03.27.",허리조심...
4,"국민건강보험공단
· !*********","작성일
2022.08.26.",나으셨나요
5,"기업은행
· l********","작성일
2017.09.06.",난 템퍼 메모리폼쓰는데... 가누다가 더 좋아??
6,"한화
· 건******","작성일
02.02",쉬면서 정기적으로 병원검진 후 걷기부터
7,"롯데정보통신
· l*********","작성일
06.27",다들 운동운동 하는데 무슨 운동 말하는거야? 헬스도 도움 돼?
8,"LG생활건강
· R*****","작성일
2019.07.26.",사바사인 거 같은데 전 발레 쉬면 더 나빠져서 못 끊어요ㅠㅠ 근력을 하니까 복근이 길러져서 허리를 버티는 느낌이랄까..
9,"새회사 · 월**
작성자","작성일
2022.09.13.",ㅋㅋㅋ 그럼 가까운데나 가야지..
10,"종근당
· 종***","작성일
2018.12.31.",터져서 흘러나왔다는데...수술해야된다는데 다른병원가봐야겠지? ㅠ 서울대 정성근교수님 만나고싶다
11,"동화기업
· i*****","작성일
05.29",ㅇㄷ
12,약사 · r*******,"작성일
05.23",흐미 ㅠㅠ
13,스타트업 · 🍳*******,"작성일
2020.12.16.",모두닥 깔아서 찾아봐요
14,"캐논코리아
· 자****","작성일
09.06","사진으로 보기엔 좀 먹은 것 같기도 한데 주행거리랑 앞으로 탈 거 생각하면 하는 김에 하는 게 낫지.

브레이크 호스랑 캘리퍼 핀 구리스칠도 같이 ㄱㄱ"
15,"경희대학교의료원
· s****","작성일
2019.02.19.",수술은 최대한 안하는게 좋아요ㅠ 그래서 저희 어머니도 신경차단술만 3번 하셨어요.. 꾸준한 운동과 자세교정이 필요하신 것 같아요. 저희 어머니도 엄청 고통스러워하셨는데 쾌유를 빕니다.
16,"일산병원
· d******","작성일
2019.09.04.",근력이 많이 떨어지거나 대소변장애가오면 응급으로 수술해야합니다 시술로 통증줄이고 운동하는걸 추천합니다
17,"한국철도공사
· i********","작성일
2019.01.30.",마취 아니구 약을 투여한다는데 엄청 큰 바늘루... 근육이나 뼈에 직접... 그래두 심해져서 수술하는것보단 나으니까 위험해도 했는데 잘하는 분이셔서 괜찮아지셨어. 눈까지 침침한건 정밀검진을 받아보는게 나을것 같은데?
18,새회사 · 코***,"작성일
09.05",될 수 있으면 치료 받고 많이 누워 있어!
19,의사 · i*******,"작성일
2020.08.12.",ㅋㅋㅋ
20,"현대자동차
· अ****","작성일
2022.07.05.","모든 한의학적 치료원리는 신체 자생력을 회복시키는거라 하더라구. 신체 기능을 건강하게 장상적으로 돌려놓으면 질병은 몸이 스스로 고치는거래. 상처가 스스로 아물듯이 말야. 나도 처음엔 뭔소린가 싶었는데, 한의원 다녀보면 다녀볼수록 그 말이 맞구나 싶어. 내가 다니는데는 수원쪽인데, 필요하면 쪽지줘~ 근데 한의원은 가급적 본인이 다니기 좋은곳으로 가는게 좋대. 그래야 필요할때마다 바로바로 진료받을 수 있으니깐."
21,"대한항공
· t*****","작성일
2021.03.18.","힙힌지만 제대로 배우면
1년 내에 수행력 복구할 수 있다.
디스크 터지고 재활로 운동하다 좋아져서
데드 200치는 사람들이 의외로 많아"
22,새회사 · d*****,"작성일
05.22",그랴유.. 자꾸 앉아있지말고 서서 스트레칭도 하고 허리찜찔도 자주 하고 그랴요
23,"LG화학
· 1*****","작성일
2022.05.12.",ㅠㅠ
24,"롯데면세점
· P*****
작성자","작성일
2018.08.03.",아침부터 도움주신분들 너무 감사합니다!!
25,새회사 · 보****,"작성일
2022.03.26.","디스크는 더 이상 심해지지 않도록 유지하는 수 밖에 없어용..
필라테스도 허리쪽에 무리되는 건 올바르지 않은 자세에서 하면 더 안좋아질 수 있으니
근력 키워서 근육으로 지탱하는 수 밖에 ㅠ_ㅠ"
26,"한성에프아이
· v*****
작성자","작성일
06.23",다들 답변감사합니다. 제가 다니는 의사선생님도 골프가 디스크에 엄청 안좋다고하네요.. 평생치고싶었는데 🥹
27,"SK하이닉스
· !********","작성일
07.26",터지면 그대로 누워서 암것도못해 저릿저릿한건 터지기직전 증상 거기서 관리해라
28,"LG유플러스
· h*******
작성자","작성일
03.06",맥킨지인가!
29,새회사 · q*****,"작성일
2020.08.08.",혹시 지금은 어떠세여?
30,"SGS
· i*********","작성일
2020.12.23.",터지먼 상체 못움직임....
31,"경찰청
· l*********
작성자","작성일
06.16",오우 다행이야... 몇개월간 통증이 지속되서 근데 걱정이야... 걷기 하루30분씩하고있는데 호전이안되네ㅜㅜ
32,"한전KPS
· i*******
작성자","작성일
2020.06.12.",웅 고마워 ㅠㅠ
33,"LG전자
· 하**","작성일
2020.08.04.",필라테스나 신청해줘요
34,"공무원
· 고********","작성일
02.03","염좌가 있는상탸니까 움직이기 불편한건 당연한거고
다리쪽 통증이 없는건 다행인거고
염좌는 결과일뿐 염좌가 생기는 원인은 따로있을걸
고관절 무릎관절 발목 체크해봐바"
35,"공무원
· i*********","작성일
2019.07.08.",강아지도 계단이 필요해
36,"대한항공
· l*********
작성자","작성일
2021.11.26.",유튜브 잘보고있습니다
37,"새회사 · 1*********
작성자","작성일
2022.04.25.","지금 응급실을 가야한다는 여친과, 내일 아침에 갈거라는 어머니와 대립 중이래... 분명 골든타임이라는게 있을텐데.."
38,"한국산업기술시험원
· i*********","작성일
2022.08.02.","아니 이제 완전히 좋아지는건 없어.. 찬바람만 불어도 한번씩 입원할 정도로 아파
좋아질때까진 그냥 계속 누워있는게 최고고, 좀 좋아지면 운동해야돼. 힘쓰는거 말고 걷는거, 코어운동 위주로..
날씨좋을때 운동해놔야 겨울 난다..ㅠ"
39,새회사 · |*******,"작성일
2022.02.12.",쟤넨 4족보행이자누ㅠ
40,"국민건강보험공단일산병원
· d******","작성일
2021.02.26.",사실 여기서 물어보면 너무 다양한 답변들을 들을 수있을거에요 일단 만성기이신거 같으니까 실손보험있으시면 도수치료있는병원 가시구요 없으시면 개인센터 가는걸 더 추천합니다 도수치료는 사실 치료사 능력이 크기때문에 어디가 좋다라고는 알기는 힘들꺼같아요 무조건 운동을 꾸준히 하시길 바랍니다 스트레칭 근력운동 꼭 생활화 해서 극복하시길 바랄게요~
41,새회사 · 인****,"작성일
07.27",디스크는 운동으로 좋아지는게 아님. 자세교정으로 좋아짐. 안좋은 자세하지마
42,새회사 · c*****,"작성일
08.08",1:1 받고 방사통 괜찮아졌어? 체형교정같은것도?? 후기궁금해ㅠㅠ
43,물리치료사 · u*****,"작성일
2022.03.25.",강서구쪽이시면 부천쪽에 아는곳 있긴해요 쪽지주시면 알려드릴게요.
44,"아시아나항공
· r*****
작성자","작성일
2022.11.15.","에어컨에 스프레이 뿌려주는거..휴..
나 진짜 너무 속상하다"
45,"대한항공
· f*****","작성일
2021.11.22.",방사통으로 인한 통증일듯요
46,"CJ
· 집*******","작성일
2018.09.03.","아고... 이쁜 아가야 부디 빨랑 나으렴..ㅠ
나는 예전 애기 목 뼈 다쳐서 한동안 기브스 시켰었는데ㅠ
윗분들 말대로 절대 무리 안 하는게 최고
치료 다 나으면 살살 평지 걸으면서 허리 주변 유연하게 해주고"
47,"한국패션산업연구원 · 순****
작성자","작성일
2021.12.26.",난 의사가 나중에 하래!! 워낙 퇴행이 심해서 나이들어 최소 4마디 유합술 해야한다면서
48,"공항철도
· 폭*********","작성일
2022.09.01.",땅콩볼로 마사지해
49,"한국공항공사
· g*****","작성일
2019.01.03.","천추1허리5번 사이 디스크 저도 터졌는데 초기에 너무 아플때는 진통제랑 마취제로 통증잡는데 노력했고 좀 진정되고 나서 약침맞고 복근 강화 운동하면서 터진 디스크 흡수되길 기다렸더니 지금은 살만 합니다.

어떤 치료를 한다해도 가장 필요한건 몸이 회복할 시간 같아요 여건되시면 꼭 충분히 쉬세요

그리고 디스크가 팽륜 단계일때는 압력이 쎄지는 앉아 있을때 아픈게 맞지만 터진 후 통증은 대부분 디스크 액이 뒤 신경에 늘러붙어 오는 통증이라 그때그때 다르더라구요"
50,"케이앤웍스
· ""*******
작성자","작성일
2021.08.16.",어찌보면 자연스러운 노화?현상일수도 있겠네요.. 근데 갑자기 터지는건 이유가 있나요?? 아니면 그냥 건물이 하중을 버티다가 더 이상 못 버티고 와르르 무너지는 그런 느낌인가요??
51,의사 · 바*******,"작성일
2022.07.14.",대학병원갑시다. 인터넷서 적은 글만보고 판단 어떻게함 ㅋㅋ
52,"효성
· :*********","작성일
2021.11.28.",저한테.파세여..
53,"넷마블몬스터
· 장*******","작성일
2020.12.07.",ㅋㅋㅋㅋㅋㅋ
54,"NCSOFT
· 머*******","작성일
2021.08.18.",플4 게임도 5로 돌리면 60프레임 신세계
55,의사 · !********,"작성일
01.31","가격은 제가 잘 모르는데
완전 디스크네요
저 저거보다 훨 적게나왔을 때도 재채기만 하면 억소리났음요
병원가서 치료 잘 받으세요
수술보단 경막외주사부터.."
56,"공무원
· q****
작성자","작성일
2019.08.11.",디스크진단받기전에 보험들어야할게 있을까요?ㅠㅠ
57,"대우건설
· h****","작성일
2021.11.22.","이미 퇴행성으로 시작된거면 돌이킬순 앖고, 통증 없애는게 우선임. 통증 없애고 나면 (약이든 주사든) 이제 근육을 강화시키기 위해 운동을 좀 하는수밖에 없고. 자세바르게 하고. 변형된 하리구조에 맞춰 근육이 적응? 하는데에는 6개월~1년 걸린데요. 더이상 악화 안되게만 잘 관리하면 나아질거에요"
58,"새회사 · j*********
작성자","작성일
08.10",몸 반토막만 무중력 상태여
59,"태평양물산
· +*****","작성일
2019.06.05.",이미 수술했구낭 ㅠ 쉬는 김에 확실히 낫는게 우선일듯해 한달 짧을거같은데
60,"경상국립대학교교직원
· 소******
작성자","작성일
08.27",오 맞아 이런거 들은 것 같은데 자세히 기억이 안나서 궁금했어! 고마워 ㅠㅠㅠㅠ 🍀
61,새회사 · 이*****,"작성일
어제",나도 궁금하다 지금 어떻게 됐는지. 나도 사고로 디스크 발견해서 치료 받았어. 자동차보험으로 처리하진 못했지만 허리가 아픈데 당연히 치료 받아야 한다고 생각했어. 자생에서 약침 맞고 많이 좋아졌네ㅎㅎ
62,"한국수자원공사
· 천*********","작성일
03.29",머지 나 5만원 냈는데
63,"대한항공
· n*****","작성일
2020.12.18.",쓰니야 어떻게 되었어? 나도 대구 사람인데 엄마가 허리디스크 터져서 급하게 알아보고 있어 ㅠㅠ
64,"에어부산
· S*****
작성자","작성일
2021.12.20.","그러고보니
나도 엘지.엘지네
돌리자 ㅋ"
65,"SK하이닉스
· l*********","작성일
02.21",더 타라
66,"케이앤웍스
· ""*******
작성자","작성일
2021.08.19.",내가안써봐서모르는디 그거 하면 허리는 안아퍼?? 얼마임??
67,"한미약품
· i******","작성일
2019.05.22.",그래서 내가 지금 누워있지
68,"공무원
· 꿀****
작성자","작성일
06.27",재규어야ㅡㅡ 에어컨 수리할때도 160씩 받아먹더니ㅜㅜ
69,"현대모비스
· 아***","작성일
04.22",봐주세요해야지 싸레기밥을 자셨나
70,"순천향대학교병원
· !***","작성일
2022.08.29.",침은 안맞아봐서 모르겠고 물리치료 충격파 이런건 솔직히 효과 하나도 없었어요..ㅠㅠ
